time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1965-10-05T03:39:02.410Z,-35.93,-72.442,22.5,5.28,mw,,,,,iscgem,iscgem852901,2022-04-26T23:32:26.878Z,"11 km WNW of Cauquenes, Chile",earthquake,,4.6,0.37,,reviewed,iscgem,iscgem
1965-11-28T03:56:46.510Z,-45.847,-72.958,25,6.2,mw,,,,,iscgem,iscgem852739,2022-04-26T23:31:44.220Z,"43 km SSW of Puerto Chacabuco, Chile",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1966-01-15T19:28:54.480Z,-33.597,-70.092,10,5.22,mw,,,,,iscgem,iscgem850891,2022-04-26T23:28:01.820Z,"44 km E of Puente Alto, Chile",earthquake,,25.2,0.35,,reviewed,iscgem,iscgem
1966-01-15T19:29:31.910Z,-33.496,-69.908,10,5.35,mw,,,,,iscgem,iscgem850892,2022-04-26T23:28:02.976Z,"62 km E of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",earthquake,,25.2,0.2,,reviewed,iscgem,iscgem
1966-02-03T02:05:57.480Z,-33.479,-70.04,15,5.17,mw,,,,,iscgem,iscgem849817,2022-04-26T23:25:38.713Z,"50 km E of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",earthquake,,25.2,0.2,,reviewed,iscgem,iscgem
1966-04-12T23:37:42.810Z,-38.231,-72.695,35,6.3,mw,,,,,iscgem,iscgem848349,2022-04-26T23:21:33.667Z,"2 km NW of Traiguén, Chile",earthquake,,30.4,0.2,,reviewed,iscgem,iscgem
1966-04-13T03:35:16.930Z,-38.206,-72.849,35,5.9,mw,,,,,iscgem,iscgem848355,2022-04-26T23:21:39.140Z,"16 km WNW of Traiguén, Chile",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1966-04-22T03:06:35.030Z,-37.656,-73.428,21.4,5.9,mw,,,,,iscgem,iscgem848610,2022-04-26T23:22:27.674Z,"16 km N of Cañete, Chile",earthquake,,3.6,0.3,,reviewed,iscgem,iscgem
1966-05-17T16:58:16.990Z,-44.195,-75.478,19.5,5.61,mw,,,,,iscgem,iscgem847531,2022-04-26T23:18:31.119Z,"191 km SW of Quellón, Chile",earthquake,,3.8,0.25,,reviewed,iscgem,iscgem
1966-07-20T19:58:46.360Z,-38.266,-72.903,10,5.21,mw,,,,,iscgem,iscgem845672,2022-04-26T23:14:42.785Z,"20 km W of Traiguén, Chile",earthquake,,9.4,0.27,,reviewed,iscgem,iscgem
